,cost,quantity,num_sold,percent_sold
84,4112.55,10.0,1.0,0.1
85,10.0,40.0,4.0,0.1
86,35.0,140.0,28.0,0.2
87,110.98333333333333,6.0,2.0,0.3333333333333333
88,17.5,400.0,40.0,0.1
89,245.76,12.0,9.0,0.75
90,1294.7,2.0,1.0,0.5
91,37.5,12.0,1.0,0.08333333333333333
92,250.0,1.0,1.0,1.0
93,1.7879999999999998,4000.0,130.0,0.0325
94,3.76,50.0,2.0,0.04
95,20.0,170.0,77.0,0.45294117647058824
96,17.0,530.0,12.0,0.022641509433962263
97,655.0,206.0,198.0,0.9611650485436893
98,0.0,100000.0,15.0,0.00015
99,17.5,360.0,10.0,0.027777777777777776
100,45.31,25.0,17.0,0.68
101,8.285714285714286,30792.0,80.0,0.002598077422707197
102,13.18,60.0,57.0,0.95
103,22.5,240.0,5.0,0.020833333333333332
104,15.0,30.0,3.0,0.1
105,23.333333333333332,141.0,118.0,0.8368794326241135
106,15.0,50.0,25.0,0.5
107,140.76,10.0,1.0,0.1
108,15.0,50.0,17.0,0.34
109,23.0,230.0,22.0,0.09565217391304348
110,49.99,9.0,9.0,1.0
111,183.28,300.0,1.0,0.0033333333333333335
112,3.73,100.0,10.0,0.1
113,15.875,18.0,6.0,0.3333333333333333
114,52.87,3.0,3.0,1.0
115,16.5,168.0,6.0,0.03571428571428571
116,37.5,150.0,141.0,0.94
117,4.05,70.0,29.0,0.4142857142857143
118,52.28333333333333,51.0,49.0,0.9607843137254902
119,90.53,100.0,15.0,0.15
120,3.4299999999999997,300.0,277.0,0.9233333333333333
121,20.0,50.0,9.0,0.18
122,169.0,30.0,14.0,0.4666666666666667
123,13.45,50.0,28.0,0.56
124,6.5,400.0,268.0,0.67
125,22.63,150.0,49.0,0.32666666666666666
126,6.88,200.0,16.0,0.08
127,8.286428571428571,5426.0,182.0,0.033542204201990417
128,300.0,120.0,9.0,0.075
129,8.46,50.0,3.0,0.06
130,140.76,1000.0,1.0,0.001
131,683.3333333333334,300.0,3.0,0.01
132,234.31,36.0,17.0,0.4722222222222222
133,24.86,27.0,5.0,0.18518518518518517
134,65.66833333333334,2900.0,17.0,0.0058620689655172415
135,4.562857142857143,1750.0,274.0,0.15657142857142858
136,0.0,100.0,2.0,0.02
137,5.0,16.0,7.0,0.4375
138,2.515,43.0,35.0,0.813953488372093
139,47.5,117.0,81.0,0.6923076923076923
140,140.76,1000.0,3.0,0.003
141,92.9,150.0,92.0,0.6133333333333333
142,12.5,23.0,23.0,1.0
143,179.93666666666664,624.0,14.0,0.022435897435897436
144,175.71428571428572,75.0,2.0,0.02666666666666667
145,162.515,26.0,15.0,0.5769230769230769
146,20.0,40.0,8.0,0.2
147,21.88,60.0,2.0,0.03333333333333333
148,39.5,295.0,66.0,0.22372881355932203
149,91.875,200.0,0.0,0.0
150,50.0,200.0,22.0,0.11
151,80.676,250.0,27.0,0.108
152,80.0,16.0,58.0,3.625
153,7.5,46.0,46.0,1.0
154,128.0375,52.0,16.0,0.3076923076923077
155,7.26,33.0,17.0,0.5151515151515151
156,55.0,8.0,8.0,1.0
157,44.0,60.0,23.0,0.38333333333333336
158,37.5,400.0,5.0,0.0125
159,15.0,200.0,6.0,0.03
160,15.0,200.0,11.0,0.055
161,8.46,100.0,1.0,0.01
162,0.0,3.0,0.0,0.0
163,228.28666666666663,800.0,200.0,0.25
164,2.5,100.0,7.0,0.07
165,720.0374999999999,1300.0,21.0,0.016153846153846154
166,14.0,1250.0,288.0,0.2304
167,70.0,25.0,11.0,0.44
168,25.0,30.0,5.0,0.16666666666666666
169,6.555,60.0,33.0,0.55
170,15.545,200.0,28.0,0.14
171,6.666666666666667,7000.0,12.0,0.0017142857142857142
172,10.0,50.0,16.0,0.32
173,52.5,40.0,2.0,0.05
174,1572.91625,730.0,433.0,0.5931506849315068
175,753.4,780.0,10.0,0.01282051282051282
176,55.63823529411765,2261.0,2.0,0.0008845643520566122
177,100.0,100.0,0.0,0.0
178,48.99,30.0,30.0,1.0
179,17.666666666666668,243.0,180.0,0.7407407407407407
180,72.12777777777778,295.0,51.0,0.17288135593220338
181,185.5,40.0,0.0,0.0
182,5.06,1000.0,4.0,0.004
183,233.33333333333334,65.0,4.0,0.06153846153846154
184,8.41,300.0,33.0,0.11
185,7.5,70.0,78.0,1.1142857142857143
186,45.0,20.0,13.0,0.65
187,45.0,5000000.0,0.0,0.0
188,12.5,110.0,21.0,0.19090909090909092
189,32.0,50.0,7.0,0.14
190,200.0,100.0,82.0,0.82
191,34.445,1300.0,444.0,0.3415384615384615
192,408.75,35.0,9.0,0.2571428571428571
193,126.66666666666667,800.0,37.0,0.04625
194,22.51,60.0,13.0,0.21666666666666667
195,15.0,200.0,50.0,0.25
196,350.0,14.0,10.0,0.7142857142857143
197,100.0,10.0,7.0,0.7
198,38.333333333333336,640.0,31.0,0.0484375
199,75.0,350.0,240.0,0.6857142857142857
200,114.40000000000002,23.0,12.0,0.5217391304347826
201,21.675,15.0,15.0,1.0
202,100.0,22.0,0.0,0.0
203,13.11,55.0,13.0,0.23636363636363636
204,15.0,12.0,12.0,1.0
205,121.86,440.0,53.0,0.12045454545454545
206,300.0,20.0,6.0,0.3
207,30.0,60.0,19.0,0.31666666666666665
208,1190.425,288.0,17.0,0.059027777777777776
209,3.73,100.0,4.0,0.04
210,5.0,50.0,10.0,0.2
211,5.0,150.0,9.0,0.06
212,40.0,2.0,0.0,0.0
213,17.91,350.0,256.0,0.7314285714285714
214,46.755,30.0,27.0,0.9
215,130.0,4.0,4.0,1.0
216,0.0,1050.0,336.0,0.32
217,40.0,56.0,44.0,0.7857142857142857
218,150.0,30.0,13.0,0.43333333333333335
219,7.5,2000.0,0.0,0.0
220,100.0,200.0,8.0,0.04
221,65.00166666666667,310.0,1.0,0.0032258064516129032
222,22.85,40.0,9.0,0.225
223,176.87499999999997,85.0,47.0,0.5529411764705883
224,35.0,35.0,35.0,1.0
225,8.46,100.0,2.0,0.02
226,16.725,175.0,99.0,0.5657142857142857
227,3.14,125.0,69.0,0.552
228,25.0,40.0,5.0,0.125
229,3.0,70.0,2.0,0.02857142857142857
230,32.085,200.0,51.0,0.255
231,25.0,175.0,6.0,0.03428571428571429
232,54.166666666666664,270.0,26.0,0.0962962962962963
233,13.185,70.0,23.0,0.32857142857142857
234,70.26,50.0,14.0,0.28
235,55.71,46.0,46.0,1.0
236,85.185,18.0,5.0,0.2777777777777778
237,15.799999999999999,422.0,22.0,0.052132701421800945
238,34.445,400.0,16.0,0.04
239,2.5,100.0,22.0,0.22
240,8.333333333333334,1950.0,821.0,0.42102564102564105
241,27.36,250.0,96.0,0.384
242,34.445,200.0,8.0,0.04
243,12.5,155.0,107.0,0.6903225806451613
244,92.41,140.0,1.0,0.007142857142857143
245,35.0,20.0,8.0,0.4
246,10.35,24.0,5.0,0.20833333333333334
247,50.0,16.0,6.0,0.375
248,150.0,100.0,0.0,0.0
249,10.0,400.0,43.0,0.1075
250,50.0,200.0,0.0,0.0
251,242.345,150.0,29.0,0.19333333333333333
252,5.0,50.0,5.0,0.1
253,40.0,35.0,22.0,0.6285714285714286
254,11.0,240.0,45.0,0.1875
255,13.333333333333334,160.0,13.0,0.08125
256,234.01,12.0,12.0,1.0
257,18.90909090909091,34200.0,1611.0,0.04710526315789473
258,9.611666666666666,221.0,162.0,0.7330316742081447
259,23.13,200.0,0.0,0.0
260,22.51,100.0,69.0,0.69
261,1685.9333333333334,40.0,30.0,0.75
262,2.505,199.0,1.0,0.005025125628140704
263,310.0,150.0,0.0,0.0
264,8.75,25.0,16.0,0.64
265,15.545,350.0,112.0,0.32
266,27.5,73.0,73.0,1.0
267,97.0,25.0,9.0,0.36
268,10.39,150.0,86.0,0.5733333333333334
269,50.0,85.0,25.0,0.29411764705882354
270,25.0,24.0,19.0,0.7916666666666666
271,55.0,60.0,2.0,0.03333333333333333
272,163.51,400.0,1.0,0.0025
273,95.0,200.0,22.0,0.11
274,15.0,348.0,54.0,0.15517241379310345
275,90.0,90.0,0.0,0.0
276,5.05,45.0,4.0,0.08888888888888889
277,125.0,30.0,5.0,0.16666666666666666
278,30.0,1000.0,136.0,0.136
279,17.81,70.0,55.0,0.7857142857142857
280,36.81,40.0,27.0,0.675
281,116.66666666666667,50.0,7.0,0.14
282,32.0375,2850.0,61.0,0.021403508771929824
283,8.08,282.0,65.0,0.23049645390070922
284,20.0,380.0,314.0,0.8263157894736842
285,0.0,25.0,22.0,0.88
286,8.75,100.0,2.0,0.02
287,6.01,25.0,5.0,0.2
288,25.0,100.0,2.0,0.02
289,,0.0,0.0,
290,5.0,250.0,127.0,0.508
291,20.0,300.0,26.0,0.08666666666666667
292,18.25,4000.0,26.0,0.0065
293,26.666666666666668,641.0,193.0,0.30109204368174725
294,51.465,150.0,34.0,0.22666666666666666
295,212.19,210.0,8.0,0.0380952380952381
296,140.0,15.0,0.0,0.0
297,75.0,12.0,12.0,1.0
298,7.5,200.0,3.0,0.015
299,125.75,210.0,6.0,0.02857142857142857
300,1295.0,80.0,38.0,0.475
301,37.5,150.0,108.0,0.72
302,332.8,1.0,1.0,1.0
303,87.814,1200.0,542.0,0.45166666666666666
304,26.52,100.0,8.0,0.08
305,54.285714285714285,500.0,110.0,0.22
306,11.0,120.0,31.0,0.25833333333333336
307,10.0,1000.0,0.0,0.0
308,8.51,200.0,146.0,0.73
309,95.0,1200.0,127.0,0.10583333333333333
310,12.910000000000002,85.0,14.0,0.16470588235294117
311,8.46,20.0,29.0,1.45
312,1563.2,57.0,47.0,0.8245614035087719
313,37.15,25.0,16.0,0.64
314,10.0,2500.0,297.0,0.1188
315,18.02,1.0,16.0,16.0
316,55.0,20.0,9.0,0.45
317,65.0,200.0,0.0,0.0
318,80.0,100.0,4.0,0.04
319,20.0,200.0,5.0,0.025
320,20.0,200.0,4.0,0.02
321,290.48249999999996,60.0,2.0,0.03333333333333333
322,6.833333333333333,550.0,423.0,0.769090909090909
323,52.5,60.0,0.0,0.0
324,115.56,80.0,34.0,0.425
325,69.0,800.0,105.0,0.13125
326,26.765,60.0,11.0,0.18333333333333332
327,40.0,30.0,6.0,0.2
328,0.0,300.0,29.0,0.09666666666666666
329,45.0,4900.0,14.0,0.002857142857142857
330,0.0,500.0,0.0,0.0
331,17.91,20.0,4.0,0.2
332,12.0,40.0,40.0,1.0
333,10.0,40.0,6.0,0.15
334,10.0,40.0,36.0,0.9
335,20.0,40.0,12.0,0.3
336,36.81,120.0,16.0,0.13333333333333333
337,29.285714285714285,1225.0,515.0,0.4204081632653061
338,22.5,1230.0,737.0,0.5991869918699188
339,16.79666666666667,140.0,51.0,0.36428571428571427
340,5.0,400.0,25.0,0.0625
341,259.7657142857143,580.0,3.0,0.005172413793103448
342,74.61,200.0,73.0,0.365
343,36.61,80.0,66.0,0.825
344,659.35,20.0,2.0,0.1
345,117.005,100.0,102.0,1.02
346,13.18,25.0,3.0,0.12
347,1833.3333333333333,270.0,6.0,0.022222222222222223
348,42.45,8.0,2.0,0.25
349,19.025,700.0,149.0,0.21285714285714286
350,35.0,200.0,43.0,0.215
351,37.5,70.0,70.0,1.0
352,38.224999999999994,70.0,17.0,0.24285714285714285
353,23.105,200.0,2.0,0.01
354,208.27703703703702,56700.0,172.0,0.0030335097001763667
355,75.0,60.0,31.0,0.5166666666666667
356,10.0,150.0,128.0,0.8533333333333334
357,10.0,200.0,2.0,0.01
358,120.535,100.0,18.0,0.18
359,99.0,51.0,16.0,0.3137254901960784
360,20.0,60.0,57.0,0.95
361,13.18,25.0,1.0,0.04
362,10.0,30.0,26.0,0.8666666666666667
363,25.355,110.0,26.0,0.23636363636363636
364,0.0,5000.0,0.0,0.0
365,100.0,300.0,5.0,0.016666666666666666
366,75.0,50.0,3.0,0.06
367,0.0,40.0,0.0,0.0
368,5.0,125.0,1.0,0.008
369,52.69500000000001,300.0,81.0,0.27
370,27.5,30.0,14.0,0.4666666666666667
371,6.4,25.0,13.0,0.52
372,5.0,100.0,1.0,0.01
373,3.73,49.0,49.0,1.0
374,15.469999999999999,125.0,31.0,0.248
375,17.810000000000002,100.0,22.0,0.22
376,24.52,16.0,2.0,0.125
377,1.5,85.0,53.0,0.6235294117647059
378,91.66666666666667,210.0,85.0,0.40476190476190477
379,20.0,10.0,10.0,1.0
380,9.95,35.0,12.0,0.34285714285714286
381,0.0,100.0,1.0,0.01
382,55.0,350.0,28.0,0.08
383,10.0,50.0,4.0,0.08
384,38.96,40.0,10.0,0.25
385,25.0,750.0,58.0,0.07733333333333334
386,76.66666666666667,1500.0,0.0,0.0
387,8.8,140.0,67.0,0.4785714285714286
388,34.445,400.0,5.0,0.0125
389,15.0,48.0,48.0,1.0
390,8.41,200.0,23.0,0.115
391,5.0,50.0,10.0,0.2
392,62.5,320.0,320.0,1.0
393,27.5,600.0,600.0,1.0
394,50.0,300.0,266.0,0.8866666666666667
395,69.0,10.0,3.0,0.3
396,243.24324324324326,109.0,20.0,0.1834862385321101
397,7.881111111111112,360.0,6.0,0.016666666666666666
398,63.27,25.0,7.0,0.28
399,32.0,2.0,1.0,0.5
400,25.0,12.0,11.0,0.9166666666666666
401,22.76,100.0,7.0,0.07
402,13.513333333333334,132.0,40.0,0.30303030303030304
403,18.0,100.0,3.0,0.03
404,20.0,40.0,7.0,0.175
405,3.73,500.0,54.0,0.108
406,140.01,900.0,2.0,0.0022222222222222222
407,13.260000000000002,1000.0,17.0,0.017
408,116.51,550.0,58.0,0.10545454545454545
409,78.38499999999999,20.0,1.0,0.05
410,13.5,95.0,95.0,1.0
411,20.0,115.0,7.0,0.06086956521739131
412,50.6,400.0,18.0,0.045
413,27.5,200.0,21.0,0.105
414,5.0,10.0,2.0,0.2
415,35.0,20.0,4.0,0.2
416,22.5,640.0,138.0,0.215625
417,333.8528571428572,1105.0,204.0,0.18461538461538463
418,20.0,50.0,18.0,0.36
419,51.8,200.0,2.0,0.01
420,79.33,20.0,2.0,0.1
421,50.98,65.0,26.0,0.4
422,35.86,3100.0,297.0,0.09580645161290323
423,33.12363636363636,324.0,98.0,0.30246913580246915
424,9.165,18.0,9.0,0.5
425,20.0,110.0,52.0,0.4727272727272727
426,15.0,15.0,7.0,0.4666666666666667
427,8.65,400.0,18.0,0.045
428,105.0,175.0,32.0,0.18285714285714286
429,17.91,60.0,8.0,0.13333333333333333
430,144.71,18.0,18.0,1.0
431,15.0,2.0,1.0,0.5
432,5.0,400.0,75.0,0.1875
433,4.05,100.0,35.0,0.35
434,13.5,16.0,3.0,0.1875
435,27.5,75.0,31.0,0.41333333333333333
436,4.333333333333333,7000.0,27.0,0.003857142857142857
437,70.0,1.0,1.0,1.0
438,10.0,120.0,15.0,0.125
439,20.0,10.0,4.0,0.4
440,53.333333333333336,65.0,0.0,0.0
441,15.0,90.0,3.0,0.03333333333333333
442,17.5,200.0,50.0,0.25
443,30.0,25.0,1.0,0.04
444,7.333333333333333,185.0,12.0,0.06486486486486487
445,41.53,150.0,1.0,0.006666666666666667
446,12.0,50.0,2.0,0.04
447,7.333333333333333,72.0,9.0,0.125
448,20.0,300.0,0.0,0.0
449,45.0,400000.0,8.0,2e-05
450,24.354,410.0,70.0,0.17073170731707318
451,297.0,100.0,0.0,0.0
452,350.0,8.0,0.0,0.0
453,43.894999999999996,200.0,32.0,0.16
454,17.5,51.0,10.0,0.19607843137254902
455,92.56,118.0,118.0,1.0
456,140.84166666666667,40.0,3.0,0.075
457,,0.0,0.0,
458,42.5,19.0,7.0,0.3684210526315789
459,13.45,90.0,55.0,0.6111111111111112
460,35.0,50.0,13.0,0.26
461,8.25,50.0,14.0,0.28
462,211.63,4.0,1.0,0.25
463,92.5,185.0,0.0,0.0
464,14.99,100.0,6.0,0.06
465,23.0,70.0,61.0,0.8714285714285714
466,345.0,35.0,49.0,1.4
467,77.75666666666667,550.0,407.0,0.74
468,71.104,875.0,341.0,0.38971428571428574
469,15.0,300.0,2.0,0.006666666666666667
470,750.0,65.0,16.0,0.24615384615384617
471,50.04,200.0,2.0,0.01
472,28.3,50.0,22.0,0.44
473,112.41,25.0,2.0,0.08
474,8.46,5.0,1.0,0.2
475,50.0,150.0,5.0,0.03333333333333333
476,31.646666666666665,120.0,24.0,0.2
477,5.0,150.0,10.0,0.06666666666666667
478,15.089999999999998,500.0,113.0,0.226
479,489.0,10.0,6.0,0.6
480,8.46,100.0,2.0,0.02
481,5.0,400.0,2.0,0.005
482,22.75,20.0,1.0,0.05
483,5.93,100.0,7.0,0.07
484,37.5,200.0,1.0,0.005
485,16.333333333333332,33.0,1.0,0.030303030303030304
486,45.0,45.0,23.0,0.5111111111111111
487,5.0,5.0,0.0,0.0
488,20.0,30.0,9.0,0.3
489,10.5,300.0,29.0,0.09666666666666666
490,28.0,50.0,5.0,0.1
491,100.0,200.0,15.0,0.075
492,126.25,50.0,1.0,0.02
493,115.24,12.0,12.0,1.0
494,10.0,1000.0,0.0,0.0
495,5.0,12.0,1.0,0.08333333333333333
496,1.6325,120.0,57.0,0.475
497,50.985,20.0,13.0,0.65
498,86.33,2700.0,220.0,0.08148148148148149
499,60.0,30.0,0.0,0.0
500,5.0,80.0,19.0,0.2375
501,5.0,80.0,4.0,0.05
502,39.0,200.0,2.0,0.01
503,10.0,100.0,0.0,0.0
504,6.59,175.0,43.0,0.24571428571428572
505,22.5,60.0,4.0,0.06666666666666667
506,6.243333333333333,4050.0,28.0,0.006913580246913581
507,6.1000000000000005,50.0,3.0,0.06
508,30.470588235294116,3920.0,519.0,0.13239795918367347
509,10.0,500.0,177.0,0.354
510,25.0,50.0,10.0,0.2
511,20.0,700.0,71.0,0.10142857142857142
512,20.0,20.0,2.0,0.1
513,7.846666666666667,90.0,14.0,0.15555555555555556
514,56.25,350.0,3.0,0.008571428571428572
515,8.41,100.0,23.0,0.23
516,10.0,150.0,150.0,1.0
517,37.5,450.0,7.0,0.015555555555555555
518,7.285714285714286,33135.0,224.0,0.006760223328806398
519,550.533,50085.0,130.0,0.0025955875012478786
520,3.745,400.0,52.0,0.13
521,36.81,120.0,14.0,0.11666666666666667
522,450.0,207.0,31.0,0.1497584541062802
523,24.055,100.0,28.0,0.28
524,249.43666666666664,34.0,19.0,0.5588235294117647
525,13.19,500.0,29.0,0.058
526,2604.2,2000.0,92.0,0.046
527,107.8,493.0,107.0,0.21703853955375255
528,41.535,300.0,99.0,0.33
529,11.38,100.0,22.0,0.22
530,15.089999999999998,300.0,26.0,0.08666666666666667
531,29.884999999999998,1900.0,283.0,0.14894736842105263
532,46.0,1525.0,675.0,0.4426229508196721
533,40.595,1000.0,74.0,0.074
534,17.91,17.0,14.0,0.8235294117647058
535,135.0,420.0,69.0,0.16428571428571428
536,20.0,15.0,3.0,0.2
537,25.0,100.0,65.0,0.65
538,76.6925,1060.0,103.0,0.09716981132075472
539,0.01,5.0,1.0,0.2
540,305.695,30.0,8.0,0.26666666666666666
541,117.16714285714286,635.0,2.0,0.0031496062992125984
542,15.0,80.0,22.0,0.275
543,17.91,150.0,42.0,0.28
544,400.0,1200.0,428.0,0.3566666666666667
545,0.0,10.0,0.0,0.0
546,45.0,2250.0,116.0,0.051555555555555556
547,18.0,45.0,23.0,0.5111111111111111
548,10.0,300.0,70.0,0.23333333333333334
549,79.24999999999999,40.0,5.0,0.125
550,25.0,10.0,5.0,0.5
551,549.4399999999999,600.0,28.0,0.04666666666666667
552,0.0,5000.0,1.0,0.0002
553,164.38,21.0,1.0,0.047619047619047616
554,40.0,274.0,168.0,0.6131386861313869
555,2.0,30.0,4.0,0.13333333333333333
556,78.99,15.0,5.0,0.3333333333333333
557,7.543333333333333,160.0,64.0,0.4
558,22.76,90.0,19.0,0.2111111111111111
559,1416.435714285714,586.0,263.0,0.44880546075085326
560,303.57,220.0,76.0,0.34545454545454546
561,5.0,130.0,33.0,0.25384615384615383
562,20.60333333333333,2000.0,120.0,0.06
563,10.116666666666667,3000.0,151.0,0.050333333333333334
564,39.0,50.0,16.0,0.32
565,20.0,100.0,32.0,0.32
566,51.05,32.0,10.0,0.3125
567,10.0,127.0,127.0,1.0
568,85.0,8.0,0.0,0.0
569,84.99,10.0,3.0,0.3
570,9.0,10000.0,2.0,0.0002
571,20.0,10.0,8.0,0.8
572,76.66666666666667,1452.0,1.0,0.0006887052341597796
573,20.0,118.0,119.0,1.0084745762711864
574,10.5,80.0,428.0,5.35
575,8.46,20.0,15.0,0.75
576,8.46,33.0,4.0,0.12121212121212122
577,17.5,30.0,4.0,0.13333333333333333
578,21.495555555555555,435.0,73.0,0.167816091954023
579,38.17666666666667,85.0,60.0,0.7058823529411765
580,20.0,165.0,162.0,0.9818181818181818
581,58.0,450.0,73.0,0.1622222222222222
582,16.0,50.0,50.0,1.0
583,7.0,75.0,3.0,0.04
584,69.88,100.0,32.0,0.32
585,27.5,130.0,37.0,0.2846153846153846
586,99.0,30.0,41.0,1.3666666666666667
587,13.260000000000002,146.0,101.0,0.6917808219178082
588,90.36,45.0,12.0,0.26666666666666666
589,11.3,500.0,346.0,0.692
590,20.0,80.0,48.0,0.6
591,85.0,71.0,71.0,1.0
592,45.0,425.0,267.0,0.6282352941176471
593,10.0,13.0,12.0,0.9230769230769231
594,50.0,8.0,8.0,1.0
595,12.5,150.0,15.0,0.1
596,13.18,100.0,12.0,0.12
597,13.18,100.0,3.0,0.03
598,0.0,20.0,0.0,0.0
599,0.0,30.0,1.0,0.03333333333333333
600,8.905000000000001,3010.0,230.0,0.07641196013289037
601,11.445,1600.0,126.0,0.07875
602,65.78,18.0,0.0,0.0
603,100.0,1000.0,5.0,0.005
604,75.0,200.0,15.0,0.075
605,8.0,500.0,21.0,0.042
606,27.354999999999997,146.0,70.0,0.4794520547945205
607,464.93,32.0,14.0,0.4375
608,0.0,80.0,0.0,0.0
609,10.0,50.0,7.0,0.14
610,0.0,80.0,0.0,0.0
611,145.83333333333334,475.0,165.0,0.3473684210526316
612,0.0,24000.0,19.0,0.0007916666666666666
613,0.0,100.0,3.0,0.03
614,25.5,60.0,14.0,0.23333333333333334
615,22.85,17.0,12.0,0.7058823529411765
616,20.0,500.0,5.0,0.01
617,40.0,646.0,41.0,0.06346749226006192
618,3.73,115.0,112.0,0.9739130434782609
619,3.0475000000000003,500.0,20.0,0.04
620,8.0,1000.0,30.0,0.03
621,325.0,75.0,8.0,0.10666666666666667
622,169.0,30.0,15.0,0.5
623,57.49857142857143,840.0,5.0,0.005952380952380952
624,122.51,20.0,14.0,0.7
625,22.5,100.0,8.0,0.08
626,134.165,16.0,5.0,0.3125
627,762.5,160.0,15.0,0.09375
628,186.5,48.0,4.0,0.08333333333333333
629,6.095000000000001,400.0,3.0,0.0075
630,41.35625,400.0,225.0,0.5625
631,36.805,170.0,83.0,0.48823529411764705
632,0.0,106.0,53.0,0.5
633,95.36,120.0,8.0,0.06666666666666667
634,140.76,1000.0,2.0,0.002
635,40.0,300.0,27.0,0.09
636,10.0,50.0,41.0,0.82
637,21.666666666666668,1075.0,227.0,0.2111627906976744
638,188.01,1000.0,11.0,0.011
639,120.27,30.0,29.0,0.9666666666666667
640,8.46,30.0,4.0,0.13333333333333333
641,22.634999999999998,60.0,2.0,0.03333333333333333
642,312.4375,324.0,46.0,0.1419753086419753
643,22.63,100.0,68.0,0.68
644,27.36,20.0,14.0,0.7
645,57.5,400.0,36.0,0.09
646,27.21,50.0,1.0,0.02
647,3.14,38.0,38.0,1.0
648,6.5625,182.0,40.0,0.21978021978021978
649,50.580000000000005,263.0,50.0,0.19011406844106463
650,158.33333333333334,30.0,3.0,0.1
651,373.75,650.0,1.0,0.0015384615384615385
652,2.0,2350.0,347.0,0.14765957446808511
653,45.23,18.0,1.0,0.05555555555555555
654,25.0,100.0,30.0,0.3
655,5.0,40.0,10.0,0.25
656,140.76,50.0,3.0,0.06
657,103.33333333333333,48.0,0.0,0.0
658,112.5,75.0,5.0,0.06666666666666667
659,10.0,90.0,352.0,3.911111111111111
660,514.2133333333334,36.0,3.0,0.08333333333333333
661,60.0,20.0,10.0,0.5
662,35.0,300.0,305.0,1.0166666666666666
663,1242.6441666666667,268.0,239.0,0.8917910447761194
664,42.93375,600.0,183.0,0.305
665,58.55,50.0,11.0,0.22
666,34.445,200.0,8.0,0.04
